IID,path,instance
1000040,1000040_21015_0_0.png,left
1000040,1000040_21016_0_0.png,right
1000053,1000053_21015_0_0.png,left
1000053,1000053_21016_0_0.png,right
1000204,1000204_21015_1_0.png,left
1000204,1000204_21016_1_0.png,right
1000216,1000216_21015_1_0.png,left
1000216,1000216_21016_1_0.png,right
1000389,1000389_21015_0_0.png,left
1000389,1000389_21016_0_0.png,right
1000487,1000487_21015_1_0.png,left
1000487,1000487_21016_1_0.png,right
1000507,1000507_21015_1_0.png,left
1000507,1000507_21016_1_0.png,right
1000650,1000650_21015_0_0.png,left
1000650,1000650_21016_0_0.png,right
1000733,1000733_21015_0_0.png,left
1000733,1000733_21016_0_0.png,right
1000942,1000942_21015_0_0.png,left
1000942,1000942_21016_0_0.png,right
1001111,1001111_21015_0_0.png,left
1001111,1001111_21016_0_0.png,right
1001189,1001189_21015_0_0.png,left
1001189,1001189_21016_0_0.png,right
1001202,1001202_21015_0_0.png,left
1001202,1001202_21016_0_0.png,right
1001361,1001361_21015_0_0.png,left
1001361,1001361_21016_0_0.png,right
1001374,1001374_21015_0_0.png,left
1001374,1001374_21016_0_0.png,right
1001481,1001481_21015_0_0.png,left
1001481,1001481_21016_0_0.png,right
1001497,1001497_21015_1_0.png,left
1001497,1001497_21016_1_0.png,right
1001535,1001535_21015_0_0.png,left
1001535,1001535_21016_0_0.png,right
1001604,1001604_21015_0_0.png,left
1001604,1001604_21016_0_0.png,right
1001665,1001665_21015_0_0.png,left
1001665,1001665_21016_0_0.png,right
1001677,1001677_21015_0_0.png,left
1001677,1001677_21016_0_0.png,right
1001805,1001805_21015_0_0.png,left
1001805,1001805_21016_0_0.png,right
1001829,1001829_21015_0_0.png,left
1001829,1001829_21016_0_0.png,right
1001925,1001925_21015_0_0.png,left
1001925,1001925_21016_0_0.png,right
1002090,1002090_21015_1_0.png,left
1002090,1002090_21016_1_0.png,right
1002133,1002133_21015_0_0.png,left
1002133,1002133_21016_0_0.png,right
1002162,1002162_21015_0_0.png,left
1002162,1002162_21016_0_0.png,right
1002207,1002207_21015_1_0.png,left
1002207,1002207_21016_1_0.png,right
1002258,1002258_21015_0_0.png,left
1002258,1002258_21016_0_0.png,right
1002340,1002340_21015_0_0.png,left
1002340,1002340_21016_0_0.png,right
1002371,1002371_21015_1_0.png,left
1002371,1002371_21016_1_0.png,right
1002447,1002447_21015_0_0.png,left
1002447,1002447_21016_0_0.png,right
1002450,1002450_21015_0_0.png,left
